Bill Number,Position,Title,Last Action,Action Date,Notes,LegiScan Link
HB1783,core bill,ST BD ED-LANGUAGE ASSESSMENT,Referred to Assignments,2026-04-21,LEADK implementing DHS changes,https://legiscan.com/IL/bill/HB1783/2025
HB4068,core bill,SCH CD-ACCOMODATIONS-TIMELINE,House Floor Amendment No. 2 Tabled,2026-04-16,brief convo about timelines but going forward,https://legiscan.com/IL/bill/HB4068/2025
HB4613,core bill,ELEC CD-BALLOT READABILITY,Rule 19(a) / Re-referred to Rules Committee,2026-03-27,waiting for Dave to push for hearing,https://legiscan.com/IL/bill/HB4613/2025
HB4967,core bill,CIVIL RIGHTS-DISABILITY,Rule 19(a) / Re-referred to Rules Committee,2026-04-17,Charlie's 504 bill.,https://legiscan.com/IL/bill/HB4967/2025
HB5488,core bill,SCH CD-504 IMPARTIAL HEARINGS,House Floor Amendment No. 1 Rule 19(c) / Re-referred to Rules Committee,2026-04-17,ISBE opposses training. IAASE opposses concept,https://legiscan.com/IL/bill/HB5488/2025
